hora,maquina,temperatura,vibracion,rpm,estado
2026-05-29 20:08:53,Motor 1,96,2.79,1788,sobrecalentamiento
2026-05-29 20:08:53,Motor 2,81,1.3,1585,normal
2026-05-29 20:08:53,bomba 1,59,1.68,1231,normal
2026-05-29 20:08:53,cinta transportadora,68,1.5,1482,normal
2026-05-29 20:08:56,Motor 1,59,2.35,1616,vibracion elevada
2026-05-29 20:08:56,Motor 2,81,0.54,1606,normal
2026-05-29 20:08:56,bomba 1,87,1.5,1257,sobrecalentamiento
2026-05-29 20:08:56,cinta transportadora,62,2.44,1658,vibracion elevada
2026-05-29 20:08:58,Motor 1,52,2.72,1566,vibracion elevada
2026-05-29 20:08:58,Motor 2,81,0.41,1205,normal
2026-05-29 20:08:58,bomba 1,93,1.63,1722,sobrecalentamiento
2026-05-29 20:08:58,cinta transportadora,62,0.31,1637,normal
2026-05-29 20:09:00,Motor 1,74,2.01,1487,vibracion elevada
2026-05-29 20:09:00,Motor 2,57,0.23,1314,normal
2026-05-29 20:09:00,bomba 1,85,1.58,1579,normal
2026-05-29 20:09:00,cinta transportadora,64,2.02,1641,vibracion elevada
2026-05-29 20:09:03,Motor 1,69,2.92,1219,vibracion elevada
2026-05-29 20:09:03,Motor 2,89,0.77,1400,sobrecalentamiento
2026-05-29 20:09:03,bomba 1,75,2.4,1706,vibracion elevada
2026-05-29 20:09:03,cinta transportadora,63,2.44,1562,vibracion elevada
